id,education,marital_status,income,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,response,age,totalchildren,totalspend
5524,graduation,single,58138,9/4/2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,68,0,1617
2174,graduation,single,46344,3/8/2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,71,2,27
4141,graduation,together,71613,8/21/2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,60,0,776
6182,graduation,together,26646,2/10/2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,41,1,53
5324,phd,married,58293,1/19/2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,44,1,422
7446,master,together,62513,9/9/2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,58,1,716
965,graduation,divorced,55635,11/13/2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,54,1,590
6177,phd,married,33454,5/8/2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,40,1,169
4855,phd,together,30351,6/6/2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,51,1,46
5899,phd,together,5648,3/13/2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,75,2,49
1994,graduation,married,51381.5,11/15/2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,42,1,19
387,basic,married,7500,11/13/2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,0,61
2125,graduation,divorced,63033,11/15/2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,0,1102
8180,master,divorced,59354,11/15/2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,2,310
2569,graduation,married,17323,10/10/2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,0,46
2114,phd,single,82800,11/24/2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,0,1315
9736,graduation,married,41850,12/24/2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,2,96
4939,graduation,together,37760,8/31/2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,0,317
6565,master,married,76995,3/28/2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,1,1782
2278,2n cycle,single,33812,11/3/2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,1,133
9360,graduation,married,37040,8/8/2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,0,316
5376,graduation,married,2447,1/6/2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,1,1730
1993,phd,married,58607,12/23/2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,1,972
4047,phd,married,65324,1/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,1,544
1409,graduation,together,40689,3/18/2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,1,444
7892,graduation,single,18589,1/2/2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,0,75
2404,graduation,married,53359,5/27/2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,2,257
